Weight,Number of Learning Problems, Open State, Final State, Steps, Path
10-90,1, (1-1), (1-1), -1, ->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->(1-1)->
10-90,1, (2-1), (2-6), -1, ->(2-2)->(2-3)->(2-4)->(2-5)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->
10-90,1, (4-1), (4-1), -1, ->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->(4-1)->
10-90,1, (5-1), (5-5), -1, ->(5-2)->(5-3)->(5-4)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->
10-90,1, (2-2), (2-6), -1, ->(2-3)->(2-4)->(2-5)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->
10-90,1, (3-2), (3-2), -1, ->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->(3-2)->
10-90,1, (5-2), (5-5), -1, ->(5-3)->(5-4)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->(5-5)->
10-90,1, (6-2), (6-2), -1, ->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->(6-2)->
10-90,1, (2-3), (2-6), -1, ->(2-4)->(2-5)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->(2-6)->
10-90,1, (4-3), (4-6), -1, ->(4-4)->(4-5)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->(4-6)->
