Weight,Number of Learning Problems, Open State, Final State, Steps, Path
10-90,1, (1-1), (1-7), 6, ->(1-2)->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,1, (2-1), (2-2), -1, ->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->
10-90,1, (3-1), (3-1), -1, ->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->
10-90,1, (4-1), (4-3), -1, ->(4-2)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->
10-90,1, (5-1), (5-1), -1, ->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->
10-90,1, (6-1), (6-1), -1, ->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->(6-1)->
10-90,1, (1-2), (1-7), 5, ->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,1, (2-2), (2-2), -1, ->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->(2-2)->
10-90,1, (4-2), (4-3), -1, ->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->(4-3)->
10-90,1, (7-2), (7-4), -1, ->(7-3)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->(7-4)->
10-90,1, (1-3), (1-7), 4, ->(1-4)->(1-5)->(1-6)->
